基金代码,交易日期,申购金额,赎回金额,申赎1曝光,申赎2曝光,申赎3曝光,基金类型,风险等级,主要投资行业,投资风格,流动性等级,星期-申购,星期-赎回,节假日,百度指数-申购,情绪热度,发薪收盘
161028,20240408,33752.47,31184.12,63050.52,2401.0,139095.9,混合型,中等,"金融-30%,科技-25%,消费-20%",平衡型,高,0.22,0.18,1.0,44117.0,451017.39,2517.58
402,20240408,5385.99,2708.59,3446.51,2551.47,3715.66,混合型,中等,"金融-30%,科技-25%,消费-20%",平衡型,高,0.18,0.17,1.0,359.0,7132261.51,4571.39
1480,20240408,5444.08,5445.82,8774.38,2401.0,23242.69,混合型,中等,"金融-30%,科技-25%,消费-20%",平衡型,高,0.17,0.16,1.0,3374.0,7132261.51,4571.39
50027,20240408,46497.16,11717.14,14603.81,4773.18,13299.04,混合型,中等,"金融-30%,科技-25%,消费-20%",平衡型,高,0.17,0.22,1.0,1681.0,1747184.63,3171.85
164906,20240408,13738.12,25480.74,45533.27,2401.0,63104.21,混合型,中等,"医药生物-20%,电子-15%",平衡型,高,0.19,0.19,1.0,3374.0,1641286.13,6558.55
100050,20240408,4829.87,5157.41,3353.26,2526.04,3604.04,混合型,中等,"金融-30%,科技-25%,消费-20%",平衡型,高,0.15,0.17,1.0,3374.0,1747184.62,3171.85
86,20240408,8358.78,1349.98,9559.92,5347.5,8274.23,混合型,中等,"金融-30%,科技-25%,消费-20%",平衡型,高,0.15,0.14,1.0,307.0,1747184.63,3171.85
1016,20240408,2759.23,3120.23,5230.94,2401.0,6155.66,混合型,中等,"金融-30%,科技-25%,消费-20%",平衡型,高,0.18,0.17,1.0,44117.0,7340347.51,2414.19
530028,20240408,53271.01,28178.72,13292.68,4985.81,10616.03,混合型,中等,"金融-30%,信息技术-20%,医疗保健-15%",平衡型,高,0.19,0.18,1.0,1681.0,1747184.63,3171.85
1407,20240408,1349.98,1349.98,2420.07,2401.71,2438.44,混合型,中等,"金融-30%,科技-25%,消费-20%",平衡型,高,0.15,0.16,1.0,307.0,7132261.55,4571.39
965,20240408,1767.04,1962.36,2574.07,2401.0,2986.63,混合型,中等,"金融-30%,科技-25%",平衡型,高,0.17,0.16,1.0,307.0,7132261.51,4571.39
385,20240408,3694.17,4514.29,2616.46,2421.49,2923.76,混合型,中等,"金融-30%,科技-25%,消费-20%",平衡型,高,0.16,0.22,1.0,359.0,42180840.1,3047.15
192,20240408,18012.44,5155.23,4256.08,2639.77,4980.87,混合型,中等,"金融-30%,科技-25%,消费-20%",平衡型,高,0.18,0.22,1.0,399.0,1747184.63,3171.85
164402,20240408,10590.56,64240.56,16426.39,2401.0,52144.01,混合型,中等,"金融-30%,科技-25%,消费-20%",平衡型,高,0.21,0.2,1.0,359.0,451017.39,2517.67
168204,20240408,18195.85,20136.35,15387.94,2401.0,54068.31,混合型,中等,"金融-30%,科技-25%,消费-20%",平衡型,高,0.19,0.17,1.0,1681.0,1747184.63,3171.85
166016,20240408,4297.96,1556.66,2487.89,2418.66,2612.22,混合型,中等,"金融-30%,信息技术-20%,医疗保健-15%",平衡型,高,0.16,0.22,1.0,1681.0,451017.48,2517.67
